TITLE,RUNTIME,YEAR,MONTH,BUDGET,GENRE,PROD_COMPANY,IMDB_GOOD,IMDB_BAD,REVENUE
The SpongeBob Movie: Sponge Out of Water,93,2015,FEBRUARY,74000000,Animation,Paramount Pictures,NO,NO,311594032
The Monuments Men,118,2014,JANUARY,70000000,War,Columbia Pictures,NO,NO,154984035
Dracula Untold,92,2014,OCTOBER,70000000,Horror,Universal Pictures,NO,NO,215529201
Blackhat,133,2015,JANUARY,70000000,Crime,Universal Pictures,NO,NO,17752940
The Legend of Hercules,99,2014,JANUARY,70000000,Action,Millennium Films,NO,YES,61279452
Ted 2,115,2015,JUNE,68000000,Comedy,Universal Pictures,NO,NO,217022588
The Finest Hours,114,2016,JANUARY,80000000,Action,Walt Disney Pictures,NO,NO,52099090
Need for Speed,130,2014,MARCH,66000000,Action,DreamWorks SKG,NO,NO,203277636
Unbroken,137,2014,DECEMBER,65000000,Drama,Legendary Pictures,YES,NO,163442937
Annie,119,2014,DECEMBER,65000000,Comedy,Columbia Pictures,NO,NO,133821816
Focus,105,2015,FEBRUARY,50100000,Romance,Kramer & Sigman Films,NO,NO,153962963
"I, Frankenstein",92,2014,JANUARY,65000000,Horror,Lakeshore Entertainment,NO,YES,71154592
Sin City: A Dame to Kill For,102,2014,OCTOBER,65000000,Crime,Miramax Films,NO,NO,39407616
Everest,121,2015,SEPTEMBER,55000000,Adventure,Universal Pictures,NO,NO,203427584
Dragon Blade,127,2015,FEBRUARY,65000000,Action,Shanghai Film Group,NO,NO,121545703
The Hateful Eight,167,2015,DECEMBER,44000000,Crime,Double Feature Films,YES,NO,155760117
Gone Girl,145,2014,OCTOBER,61000000,Mystery,Twentieth Century Fox Film Corporation,YES,NO,369330363
Maze Runner: The Scorch Trials,132,2015,SEPTEMBER,61000000,Action,Gotham Group,NO,NO,311256926
Jack Ryan: Shadow Recruit,105,2014,JANUARY,60000000,Action,Paramount Pictures,NO,NO,50549107
Joy,124,2015,DECEMBER,60000000,Drama,Fox 2000 Pictures,NO,NO,101134059
London Has Fallen,99,2016,MARCH,60000000,Action,Millennium Films,NO,NO,205754447
The Boxtrolls,97,2014,SEPTEMBER,60000000,Animation,Laika Entertainment,NO,NO,108255770
The Lego Movie,100,2014,FEBRUARY,60000000,Adventure,Village Roadshow Pictures,YES,NO,469160692
Winter's Tale,118,2014,FEBRUARY,60000000,Drama,Village Roadshow Pictures,NO,NO,30800231
Mortdecai,106,2015,JANUARY,60000000,Comedy,Lionsgate,NO,NO,30418560
The Monkey King 2,120,2016,JANUARY,68490000,Action,Filmko Pictures,NO,NO,193677158
Deadpool,108,2016,FEBRUARY,58000000,Action,Twentieth Century Fox Film Corporation,YES,NO,783112979
American Sniper,133,2014,DECEMBER,58800000,War,Village Roadshow Pictures,YES,NO,542307423
Goosebumps,103,2015,OCTOBER,58000000,Adventure,Columbia Pictures,NO,NO,158162788
The Equalizer,132,2014,SEPTEMBER,55000000,Thriller,Columbia Pictures,YES,NO,192330738
Paddington,95,2014,NOVEMBER,55000000,Family,The Weinstein Company,YES,NO,259207227
Muppets Most Wanted,112,2014,MARCH,50000000,Comedy,Buena Vista,NO,NO,80383290
Black Mass,122,2015,SEPTEMBER,53000000,Crime,Infinitum Nihil,NO,NO,98837872
22 Jump Street,112,2014,JUNE,50000000,Crime,Columbia Pictures,YES,NO,188441614
Central Intelligence,107,2016,JUNE,50000000,Action,New Line Cinema,NO,NO,216972543
Daddy's Home,96,2015,DECEMBER,50000000,Comedy,Paramount Pictures,NO,NO,242786137
Into the Woods,125,2014,DECEMBER,50000000,Fantasy,Walt Disney Pictures,NO,NO,212902372
Non-Stop,106,2014,JANUARY,50000000,Action,StudioCanal,NO,NO,222809600
13 Hours: The Secret Soldiers of Benghazi,144,2016,JANUARY,50000000,Action,Paramount Pictures,YES,NO,69411370
The Book of Life,95,2014,OCTOBER,50000000,Romance,Twentieth Century Fox Film Corporation,YES,NO,97437106
Into the Storm,89,2014,OCTOBER,50000000,Action,New Line Cinema,NO,NO,160602194
The Judge,141,2014,OCTOBER,50000000,Drama,Village Roadshow Pictures,YES,NO,83719388
Free State of Jones,139,2016,JUNE,50000000,War,Larger Than Life Productions,NO,NO,25035950
Run All Night,114,2015,MARCH,50000000,Action,Vertigo Entertainment,NO,NO,71561644
Zoolander 2,100,2016,FEBRUARY,50000000,Comedy,Scott Rudin Productions,NO,YES,55969000
Chappie,120,2015,MARCH,49000000,Crime,Columbia Pictures,NO,NO,104399548
Child 44,137,2015,MARCH,50000000,Crime,Summit Entertainment,NO,NO,3324330
Taken 3,109,2014,DECEMBER,48000000,Thriller,Twentieth Century Fox Film Corporation,NO,NO,325771424
The Infiltrator,127,2016,JULY,25000000,Crime,Good Films,NO,NO,15436808
Blended,117,2014,MAY,40000000,Comedy,Happy Madison Productions,NO,NO,123494610
Victor Frankenstein,109,2015,NOVEMBER,40000000,Drama,Twentieth Century Fox Film Corporation,NO,NO,34227298
The Interview,112,2014,DECEMBER,44000000,Action,Columbia Pictures,NO,NO,12342632
Lucy,89,2014,JULY,40000000,Action,Universal Pictures,NO,NO,126546825
Fifty Shades of Grey,125,2015,FEBRUARY,40000000,Drama,Focus Features,NO,NO,571006128
The Conjuring 2,134,2016,MAY,40000000,Horror,New Line Cinema,YES,NO,320170008
